Delegator Address,Validator Address,Shares,Balance
core1qftp6q5nequvrr4tfnr38369ad6hreqd8dpz8y,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2207615685000000000000000000,2207615685
core1qftfv95t5j9fqykgtyvrqq9q25mntfvrq5d5eh,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,700000000000000000000000000,700000000
core1qve6yzh6f4r8sqflfmxq7ywxh5cflzexja63fm,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,168243541000000000000000000,168243541
core1qd4mys3a6df203qzuyucf68v49tjcq97tskulm,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1250460399000000000000000000,1250460399
core1q0jr88verrjc08qy20m8gkmgdw56h0af3uy7ey,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6670000000000000000000000000,6670000000
core1qn757rtn8hjgw0kgumdsaju7lvj3kdhmxhldx6,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,32002826000000000000000000,32002826
core1q69hxadh5pl9d6q0a35y3mfx8ls5quxu6kpc84,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,36930000000000000000000000000,36930000000
core1q7kewzg0vg6yugsq9c9shsl6nn5ltlfgudhpea,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,518170192000000000000000000,518170192
core1qld60tgjpl4zyr5rmfr8y26rrpe4tfdscc4y53,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,45000000000000000000000000,45000000
core1prs8dnvm4dfhmny3hkqf77qdgq9d7m7lhpctdw,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,250000000000000000000000000,250000000
core1px4retuy3njk4gej26uvfszvpegpnamxvn2j3u,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2225532149000000000000000000,2225532149
core1pg3ngggra6kmtalqd5dmpk56es724e7j2nwtzq,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,17500000000000000000000000000,17500000000
core1pgu0u56skg49c6s5vhcp64ulrr5t5c0ffzv0l0,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,40000000000000000000000000,40000000
core1pv8u5y23yq6kvqr4rdxx9hgcqz0dkrgvu4aayd,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,4999999999000000000000000000,4999999999
core1pw94jrewhefhv5qcmf4478z4724pjvp8q42avl,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,717000000000000000000000000,717000000
core1p00mj80xz7uymtqamqc5ls6tpfm7hx7pvm32hs,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3155800000000000000000000000,3155800000
core1pnegz359m747lmwgsad0rdvhdt2lewks65fvwn,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,9000000000000000000000000,9000000
core1ph2chv4htuqr45agmqyacypxc273yjy72tt8rz,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,9500300000000000000000000000,9500300000
core1p7g3la373n8eh9nuc3c35q4z970ddderwjg6gr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2857720000000000000000000000,2857720000
core1zr5upwkv66zlc52cm68z2lvqtxddmvrzrr5syu,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,4160000000000000000000000,4160000
core1zfdh9jslt8ldzwnvw8pkldyx6l9vxkhv9m4meu,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,122862729223000000000000000000,122862729223
core1zhapqdcu46lzzljg05m97kkugy0vp77asy0exv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1599484445000000000000000000,1599484445
core1z6dgyskznu3rj7zht3uftejvsqvldw6m6m95au,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6572505314000000000000000000,6572505314
core1zaxjnh0g09xt5q2w7a2nq7j83m9ydhqxhjkfay,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,4189012485000000000000000000,4189012485
core1rqdkthd875uaejxfnzmpd7lnquh4cm0fqanavh,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,62000000000000000000000000,62000000
core1rp2zdvx5des8mz5jl3v2tpzljg32gfvsc9gx47,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,8127497840000000000000000000,8127497840
core1rpvrmr023ew56permzcm53lwl0s7l46qczhmwh,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2000000001000000000000000000,2000000001
core1ryrat2ul34vz9hc828f0hufwqj2exvzesmaatk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,101000000000000000000000000,101000000
core1ryxhplnwpk9tf5mv494448n7q2tsq3sn2ae5qz,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,5919749646000000000000000000,5919749646
core1rwfpqv6kytztrka2jzgsuzhlfmm7k6uc0xsw0d,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3935000000000000000000000000,3935000000
core1rhhukkkca0e3pfhl3d2g0ply803eyy80844r6p,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,151602678000000000000000000,151602678
core1reavw9mj6a094hy44y96m296haej09srq4qh8d,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1045000000000000000000000000,1045000000
core1r6fex3xqvx2nftcetvd3c9q855629w2jvjktpc,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,20000000000000000000000000000,20000000000
core1rm24l7knk9gygpat429p2vxkr38v7cfrzu5usg,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3845762257000000000000000000,3845762257
core1rul94yu2u2vfar4nddg748m5hmtkxqzzemx3u2,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,663683323000000000000000000,663683323
core1r74s3zzye0ukwt04eveump6kuftm6c7fqdvmjd,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,107458467000000000000000000,107458467
core1r77vj6eh5jhd6k6p53pql95c26kx6lrafza6cv,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,32000000000000000000000000000,32000000000
core1rlkrrkfmcpqxn7535pwkap4cf8hhk0wan6rn8t,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2900983857000000000000000000,2900983857
core1ypnea5lhwzl5y576elarpqnk4uct6gxlvnhugx,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6662137661000000000000000000,6662137661
core1yzck0fqcgvhvn2hnmeqxfdgj5yypqfmc8vljm2,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,359922170000000000000000000,359922170
core1yrnjcz4nqvvzps6cqzjauwq47k0wcallcehknm,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,294078090000000000000000000,294078090
core1yyatg2ma7sky43vm09ef5ukcr3y80kv9p5rqfc,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,5000000000000000000000000,5000000
core1yt777m77rqwqx9lgxpt2tvuqkyq9tqgl6s8lwn,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,732664883000000000000000000,732664883
core1yddgy3cq8u228gxhhu9tg5wecx7wqj6rqvkvsa,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,987728000000000000000000,987728
core1yd6jefflp678cat8a4wle2jqrucvz586xjwmcr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2318638999000000000000000000,2318638999
